candidate_name,cmte_nm,race,Freq
"TRUMP, DONALD J.","DONALD J. TRUMP FOR PRESIDENT, INC.",Most Likely Asian,4787
"TRUMP, DONALD J.",GEORGIA TRUMP VICTORY,Most Likely Asian,0
"TRUMP, DONALD J.",NEW JERSEY TRUMP VICTORY,Most Likely Asian,3
"TRUMP, DONALD J.",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Most Likely Asian,6150
"TRUMP, DONALD J.",TRUMP VICTORY,Most Likely Asian,293
"TRUMP, DONALD J.","DONALD J. TRUMP FOR PRESIDENT, INC.",Most Likely Black,2822
"TRUMP, DONALD J.",GEORGIA TRUMP VICTORY,Most Likely Black,1
"TRUMP, DONALD J.",NEW JERSEY TRUMP VICTORY,Most Likely Black,0
"TRUMP, DONALD J.",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Most Likely Black,2504
"TRUMP, DONALD J.",TRUMP VICTORY,Most Likely Black,121
"TRUMP, DONALD J.","DONALD J. TRUMP FOR PRESIDENT, INC.",Most Likely Hispanic,6682
"TRUMP, DONALD J.",GEORGIA TRUMP VICTORY,Most Likely Hispanic,0
"TRUMP, DONALD J.",NEW JERSEY TRUMP VICTORY,Most Likely Hispanic,0
"TRUMP, DONALD J.",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Most Likely Hispanic,6012
"TRUMP, DONALD J.",TRUMP VICTORY,Most Likely Hispanic,179
"TRUMP, DONALD J.","DONALD J. TRUMP FOR PRESIDENT, INC.",Most Likely Other,50
"TRUMP, DONALD J.",GEORGIA TRUMP VICTORY,Most Likely Other,0
"TRUMP, DONALD J.",NEW JERSEY TRUMP VICTORY,Most Likely Other,0
"TRUMP, DONALD J.",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Most Likely Other,76
"TRUMP, DONALD J.",TRUMP VICTORY,Most Likely Other,1
"TRUMP, DONALD J.","DONALD J. TRUMP FOR PRESIDENT, INC.",Most Likely White,165997
"TRUMP, DONALD J.",GEORGIA TRUMP VICTORY,Most Likely White,35
"TRUMP, DONALD J.",NEW JERSEY TRUMP VICTORY,Most Likely White,12
"TRUMP, DONALD J.",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Most Likely White,160328
"TRUMP, DONALD J.",TRUMP VICTORY,Most Likely White,6824
